content	1
걍 이 병신나라 민도가 좆박은건데 어쩔수가 잇나 걍 망해야지	0
그 앰생 쓰레기 병신들은 짐승이고. 니는 짐승을 사람 취급해주냐.	0
제발 너그집으로 꺼져 애미뒤진새끼야	0
몸만지면 대주는 걸레년임	0
환경오염도 이쯤되면 심각하고 자식 낳아봐야 지들 애미애비(그러므로 너 나 우리)가 똥 싸지른 꼴 구경시켜주는 것밖에 더 되겠냐 재앙아 출산율 더 낮춰봐라	0
씨발 좆같은 새끼가 먼저 시비투로 글 싸재껴놓고 이제와서 그런 뜻 아니었다 뭔 개 좆빠는 소리를 쳐하노	0
말투 진짜 개좆같다 대가리 깨서 마라국물 마시고 싶네	0
씨발년이 애새끼 처먹이는데 마라탕을 왜 먹여 1점 주려고 별 지랄을 다하네 미친년이	0
저런 년들도 결혼하고 애낳고 산다는게 보지년들이 인생 허들이 낮다는 증거 아니겠노	0
애기한태 마라탕을 처 맥이려는 미친년이 애미실격아니냐	0
한남고추작다고한거사과해줘	0
딱봐도 여자 만만하게보고 지랄하다 좇될것 같으니까 정신병있는 여성인척 약자의 요소들로 빠져나가려고 하는게 존나 재수없는 한남새끼임	0
느그애비 한남	0
목 잘라서 염산에 담궈버리고 싶다	0
저글쓴 국뽕새끼 진짜 애미뒤진 저능아새끼네 ㅋㅋ	0
자지들이 여자어 따라한다고 이지랄하는거보면 아가리뜯어버리고梨 ㅇㅅㅇ 텍스트에서 갤창냄새가 코찌리게 나누 ㄷㄷ	0
여가부 폐지에 부랄쉰내 풍기며 허버허버 몰려오는 국산남들	0
보지들이 짝기를 했더니 가짜뉴스라는 참 좇 같은 자손이 나왔네요	0
쿠테타 한번 일어나서 개패미 좌빨들 모조리 청소혀야제	0
피싸개들은 기자 못하게 법으로 막던가 해야지 무슨 이년들은 씨발 기사를 쓰는게 아니라 일기를 씀	0
축리웹병신새끼 니애미 보짓속으로 기어들어가라 ㅋㅋ	0
조센징들 또 좆 같은 거짓 반일 선동이나 하다가 일본인들한테 다 털려서 개 쪽 쳐맞고 있노 사스가 반일 정신병 미개 조센징 수준 ww	0
한녀들이나 이딴 주작예능 보지 지능 문제다 씨발	0
안산은 20살에 금메달 세 개 따는데 디시 한남들은 인생에서 뭐 이뤄놓은 것도 없느면서 페미페미 이지랄 하고 있노 ㅋㅋㅋ 남성이 유전적으로 월등하다는 건 팩트 아닌가요??? 남성이 예로부터 사냥활동을 해서 운동신경이 어쩌고 저쩌고~ 팩트는 안산보다 운동신경 훨씬 떨어지는 배나온 한남임 ㅋㅋㅋ	0
느그애미도 너 태어났을 때 배까고 싶었을 듯	0
뭔 개소리야 병신 정신병자 조현병 새끼가	0
좆돼지년들 화형시키면 지방때문에 일주일은 활활탈듯	0
